"level3_pathway_name","B1mean","B2mean","B3mean","D1mean","D2mean","D3mean","Y1mean","Y2mean","Y3mean","pvalue_BvsD","pvalue_YvsD","YvsD","BvsD","blue","dark","yellow"
"Antigen processing and presentation",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Bacterial chemotaxis",7.56126,5.484225,6.299946,81.723877,133.246493,114.539549,57.114972,33.057745,53.327975,0.0204204559560956,0.0359866921841545,0.435497336272903,0.0587097076127775,6.448477,109.836639666667,47.833564
"Chaperones and folding catalysts",18.7947634,20.6598904,25.4828864,270.790513,75.8490716,413.2409908,1243.6436396,1096.0922668,1209.9799042,0.141316333836829,0.00422139542709827,4.67141275289401,0.0854575604407534,21.6458467333333,253.293525133333,1183.23860353333
"Chemical carcinogenesis - receptor activation",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Chromosome and associated proteins",5.628032,7.122544,5.07483,294.226744,389.799292,267.434266,99.044977,125.272639,128.761714,0.0139239094884785,0.0269851451781786,0.371092024814715,0.0187347868981296,5.941802,317.153434,117.69311
"Cytoskeleton proteins",5.628032,7.122544,5.07483,294.226744,389.799292,267.434266,99.044977,125.272639,128.761714,0.0139239094884785,0.0269851451781786,0.371092024814715,0.0187347868981296,5.941802,317.153434,117.69311
"DNA repair and recombination proteins",15.834411,3.585636,7.204801,202.243575,182.462864,221.856349,251.584014,1113.016881,1028.902972,0.00163812625173425,0.16172741318357,3.9460117144542,0.0438946281023754,8.87494933333333,202.187596,797.834622333333
"Estrogen signaling pathway",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Exosome",19.50897775,21.55418225,27.612854,324.40338325,88.7024195,499.3033685,1502.127716,1341.195048,1397.016858,0.141766276573636,0.0053845554724536,4.64741012652332,0.0752688773458008,22.8920046666667,304.136390416667,1413.44654066667
"Flagellar assembly",7.56126,5.484225,6.299946,81.723877,133.246493,114.539549,57.114972,33.057745,53.327975,0.0204204559560956,0.0359866921841545,0.435497336272903,0.0587097076127775,6.448477,109.836639666667,47.833564
"Fluid shear stress and atherosclerosis",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"General function prediction only",26.231168,34.462386,33.961329,44.505491,16.174901,40.083485,86.914324,102.648488,255.246604,0.842416273798771,0.163010267945304,4.41437377404603,0.939373174376766,31.5516276666667,33.587959,148.269805333333
"Glyoxylate and dicarboxylate metabolism",14.293872,19.166841,3.902077,61.070618,69.591687,101.985808,173.663812,361.169986,647.053359,0.0241551244104015,0.147174819151616,5.08014933695164,0.160597863950867,12.4542633333333,77.549371,393.962385666667
"IL-17 signaling pathway",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Lipid and atherosclerosis",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,0.117175954554127,0.0293728053909231,3.35830716474022,0.0271365561082464,6.88687766666667,253.785986666667,852.291297333333
"Longevity regulating pathway - multiple species",15.937906,17.082723,16.963016,56.339032,24.43568,68.99148,209.707334,115.681142,461.832089,0.12874336130266,0.174164139260686,5.25633024708273,0.333744514249251,16.661215,49.922064,262.406855
