"level3_pathway_name","B1mean","B2mean","B3mean","D1mean","D2mean","D3mean","pvalue_BvsD","BvsD","blue","dark"
"alpha-Linolenic acid metabolism",41.172898,47.7221735,45.284451,6.00564,2.065614,6.7973395,0.000122820431075778,9.0243587935873,44.7265075,4.95619783333333
"Biosynthesis of unsaturated fatty acids",39.7523535,30.9948695,29.356754,1.989551,1.821476,4.335154,0.00784034946110827,12.2884547986351,33.3679923333333,2.71539366666667
"Legionellosis",50.6870463333333,61.5956906666667,46.075983,5.70004783333333,7.35355016666667,4.41539966666667,0.00781257453225188,9.0651291517527,52.78624,5.82299922222222
"Lipid and atherosclerosis",163.0268928,188.3127288,187.901351,37.0668872,25.1600086,38.2130254,0.000635585347651673,5.36879127499754,179.746990866667,33.4799737333333
"Nitrogen metabolism",158.214284375,215.8225628125,180.021580375,20.195677625,28.2826803125,30.536030375,0.00918749025401793,7.01212069593214,184.686142520833,26.3381294375
"NOD-like receptor signaling pathway",74.6481695,65.18049675,59.0851215,5.84095575,8.309426,4.671908,0.00391102101886832,10.567990950729,66.3045959166667,6.27409658333333
"Pathways in cancer",84.6952283333333,74.6271993333333,64.3471536666667,5.503903,5.97490766666667,5.28545633333333,0.00712211592017922,13.3420436058035,74.5565271111111,5.588089
"Plant-pathogen interaction",55.524184,52.5485534,45.0072226,4.203392,6.606731,4.2892402,0.00297275812714822,10.1381732442862,51.0266533333333,5.03312106666667
"Prion disease",96.4178953333333,100.174660666667,91.9531716666667,18.9023023333333,14.0995883333333,21.4715003333333,1.83670153173302e-05,5.29700322248466,96.1819092222222,18.157797
"Thiamine metabolism",35.627905,46.4839973333333,43.7716841666667,3.77695666666667,3.94932216666667,5.61484766666667,0.00614370605555863,9.43575390728811,41.9611955,4.44704216666667
"Tuberculosis",69.523496,66.8756062857143,70.7937234285714,18.0185295714286,13.9261807142857,13.9211474285714,9.3440740933738e-06,4.51736511731584,69.0642752380952,15.2886192380952
