"level3_pathway_name","B1mean","B2mean","B3mean","D1mean","D2mean","D3mean","pvalue_BvsD","BvsD","blue","dark"
"Apoptosis - fly",16.4877391818182,18.3250992727273,17.5020951818182,0.264678454545455,0.399724090909091,0.201932090909091,0.000847233619619787,60.3865197586362,17.4383112121212,0.288778212121212
"Benzoate degradation",9.96410814285714,10.0738585714286,10.0587792857143,0.262706714285714,0.237254571428571,0.448444285714286,1.0318903552824e-06,31.7340459679772,10.0322486666667,0.31613519047619
"Carbapenem biosynthesis",19.571476,17.508016,19.0159555,0.2828505,0.0370395,0.912145,0.00022736933191658,45.5307255881529,18.6984825,0.410678333333333
"Energy metabolism",12.7586596666667,13.6938763333333,13.7440026666667,0.990260333333333,0.787771833333333,0.685226333333333,0.000280789517297008,16.3184410676617,13.3988462222222,0.821086166666667
"Enzymes with EC numbers",18.216882453125,16.919251296875,16.40396971875,0.388875703125,0.49950753125,0.626279953125,0.000887795561249237,34.0274352041384,17.1800344895833,0.504887729166667
"Exopolysaccharide biosynthesis",15.670696,16.2616936666667,17.515276,0.439964333333333,0.238064333333333,0.772316666666667,0.000527546913472834,34.0937185994324,16.4825552222222,0.483448444444444
"Folate biosynthesis",15.12522325,16.02321925,15.588127875,0.146773125,0.271073625,0.414626875,9.63319714777237e-05,56.1418031412106,15.5788567916667,0.277491208333333
"Galactose metabolism",15.366315,15.0564285714286,16.1822339285714,0.223728571428571,0.226578285714286,0.276982785714286,0.00046702996990627,64.0803536221323,15.5349925,0.242429880952381
"Porphyrin metabolism",17.93712484,18.28814144,19.0658334,0.47996912,0.46077736,0.62580536,0.000257244401511468,35.2947781670602,18.43036656,0.522183946666667
"Pyrimidine metabolism",13.4643182608696,13.5617082173913,13.5451272608696,0.39170152173913,0.394722043478261,0.391597173913043,5.12405756171476e-06,34.440101427313,13.5237179130435,0.392673579710145
"RIG-I-like receptor signaling pathway",16.346803,16.152497,16.830409,0.243444666666667,0.0531276666666667,0.170403666666667,5.48099494306202e-05,105.63649737888,16.4432363333333,0.155658666666667
"Secretion system",15.0772492307692,14.4267781538462,15.3401257692308,0.697064846153846,1.11740684615385,0.56446,1.0055119152219e-05,18.8505425770947,14.9480510512821,0.792977230769231
"Streptomycin biosynthesis",17.7989652857143,16.0504667142857,16.8623024285714,0.172700428571429,0.130362142857143,0.152604571428571,0.00090264024344498,111.291180905862,16.9039114761905,0.151889047619048
"Sulfur relay system",20.2446354285714,18.2889,18.5077785714286,0.334851285714286,0.746240428571429,0.785312714285714,0.000666786241688868,30.5621402986384,19.0137713333333,0.62213480952381
"Terpenoid backbone biosynthesis",11.92487065,12.40698595,11.18752815,0.4970805,0.44925625,0.65467055,0.000720607433346532,22.1856482165946,11.8397949166667,0.5336691
