"level3_pathway_name","B1mean","B2mean","B3mean","D1mean","D2mean","D3mean","pvalue_BvsD","BvsD","blue","dark"
"Bacterial motility proteins",32.2054631111111,22.5081266111111,19.489714,514.601021222222,458.682183666667,400.500721277778,0.00523578824940682,0.0540138098203516,24.7344345740741,457.927975388889
"Chemical carcinogenesis - reactive oxygen species",26.49172025,45.961811,60.88176275,588.8020755,632.57859,596.4784125,1.04261481811084e-05,0.0733474313898384,44.445098,605.953026
"Exosome",26.5603202857143,19.355152,18.8368086428571,299.620347642857,246.230503214286,318.627831357143,0.00601057239828659,0.0749032709085598,21.5840936428571,288.159560738095
"Flagellar assembly",42.4805080833333,30.31166625,26.2526025,711.72022625,633.360257583333,531.980838583333,0.00721818310594507,0.0527658716582662,33.0149256111111,625.687107472222
"FoxO signaling pathway",88.51922,163.638073,225.939181,1852.313693,2007.431321,1745.861174,0.000265215431189616,0.0852889871256864,159.365491333333,1868.535396
"GABAergic synapse",28.812081,30.19176,33.800899,895.108504,940.925159,706.559608,0.00760454774310675,0.036500033669758,30.9349133333333,847.531090333333
"Glutamatergic synapse",28.812081,30.19176,33.800899,895.108504,940.925159,706.559608,0.00760454774310675,0.036500033669758,30.9349133333333,847.531090333333
"Huntington disease",49.6254355,87.9982245,117.916594,1112.404056,1198.09871,1079.8718365,9.07828168686977e-05,0.075372277096333,85.1800846666667,1130.1248675
"Inositol phosphate metabolism",510.547069,394.66005,567.353932,3466.169678,2954.518013,3555.785383,0.00259708879643604,0.14760337045741,490.853683666667,3325.49102466667
"Legionellosis",93.7905586,63.8235818,54.1861126,1487.8493636,1322.733319,1010.8860924,0.0127607041031696,0.0554237821817607,70.6000843333333,1273.822925
"Lipid and atherosclerosis",46.9283875,85.7352365,116.7149295,1070.9177035,1042.730311,1069.8340595,4.59798519306543e-05,0.0783351524221587,83.1261845,1061.16069133333
"Longevity regulating pathway",88.51922,163.638073,225.939181,1852.313693,2007.431321,1745.861174,0.000265215431189616,0.0852889871256864,159.365491333333,1868.535396
"Longevity regulating pathway - multiple species",88.51922,163.638073,225.939181,1852.313693,2007.431321,1745.861174,0.000265215431189616,0.0852889871256864,159.365491333333,1868.535396
"Longevity regulating pathway - worm",27.0301725,46.63585875,62.31131775,697.32589725,583.853707,844.6205715,0.0115737609165871,0.063965254378637,45.325783,708.600058583333
"Lysine biosynthesis",8.4200146,22.8227846,32.9746792,540.375132,550.724877,505.264506,6.12496276761218e-05,0.0402273276539225,21.4058261333333,532.121505
"MAPK signaling pathway - fly",88.51922,163.638073,225.939181,1852.313693,2007.431321,1745.861174,0.000265215431189616,0.0852889871256864,159.365491333333,1868.535396
"Mitochondrial biogenesis",40.603332375,27.233192875,28.79445075,340.245106375,268.430934625,434.802794625,0.0218259839871472,0.0926046343260255,32.2103253333333,347.826278541667
"Monobactam biosynthesis",10.5811826666667,32.9526303333333,50.9770073333333,800.305920333333,854.168985333333,741.378612333333,0.000609687029810704,0.039447662231132,31.5036067777778,798.617839333333
"Nitrogen metabolism",27.377082375,22.89394275,25.790708125,398.021844875,604.95369625,389.396309125,0.024796813312649,0.0546274569083992,25.3539110833333,464.123950083333
"NOD-like receptor signaling pathway",79.0483913333333,54.4917181666667,46.4035401666667,1288.12808866667,1115.28264933333,908.039567833333,0.0104347699010246,0.0543398309042066,59.9812165555556,1103.81676861111
"Peroxisome",55.7914235,92.664271,125.0430815,1135.231841,1217.2614475,1134.5235155,1.37527415571174e-05,0.0784334551202237,91.1662586666667,1162.33893466667
"Plant-pathogen interaction",91.51798275,58.215129,53.545945125,1063.0086905,950.768288375,749.61917875,0.010360410456372,0.0735613155985959,67.759685625,921.132052541667
"Ribosome",82.467975,102.322863,115.0747965,1303.5308485,1841.2119545,867.202073,0.0479667092643028,0.0747432090340615,99.9552115,1337.31495866667
"Salmonella infection",79.0483913333333,54.4917181666667,46.4035401666667,1288.12808866667,1115.28264933333,908.039567833333,0.0104347699010246,0.0543398309042066,59.9812165555556,1103.81676861111
"Shigellosis",93.7905586,63.8235818,54.1861126,1487.8493636,1322.733319,1010.8860924,0.0127607041031696,0.0554237821817607,70.6000843333333,1273.822925
"Streptomycin biosynthesis",256.2294325,198.7819685,284.990089,1767.9835715,1513.9747295,1821.8891845,0.00256620445412691,0.144988950414827,246.667163333333,1701.28249516667
